UNDERLYING_NAME,MWPL (February 2026)
360ONE,36943219
ABB,7946564
ABCAPITAL,122657000
ADANIENSOL,43791427
ADANIENT,49117354
ADANIGREEN,92816927
ADANIPORTS,84394936
ALKEM,7334235
AMBER,3257355
AMBUJACEM,79841849
ANGELONE,9673308
APLAPOLLO,23068453
APOLLOHOSP,15524629
ASHOKLEY,423719104
ASIANPAINT,49389162
ASTRAL,18450534
AUBANK,86371921
AUROPHARMA,41977935
AXISBANK,296371456
BAJAJ-AUTO,15906526
BAJAJFINSV,65701623
BAJAJHLDNG,5401993
BAJFINANCE,317526833
BANDHANBNK,144289555
BANKBARODA,279476623
BANKINDIA,181770921
BDL,13786716
BEL,535778534
BHARATFORG,40107751
BHARTIARTL,367085962
BHEL,192361942
BIOCON,91057772
BLUESTARCO,17213286
BOSCHLTD,882048
BPCL,306020745
BRITANNIA,16370935
BSE,61094861
CAMS,37122288
CANBK,504315430
CDSL,26647500
CGPOWER,103060454
CHOLAFIN,63257923
CIPLA,59297360
COALINDIA,278206904
COFORGE,50189409
COLPAL,19546143
CONCOR,51639257
CROMPTON,96587231
CUMMINSIND,19131188
DABUR,89873278
DALBHARAT,12425041
DELHIVERY,112112283
DIVISLAB,14898112
DIXON,6452220
DLF,96058266
DMART,18750186
DRREDDY,91531454
EICHERMOT,19199175
ETERNAL,1251309857
EXIDEIND,68856800
FEDERALBNK,320636733
FORTIS,77949604
GAIL,435694919
GLENMARK,22585180
GMRAIRPORT,534704421
GODREJCP,72031016
GODREJPROP,17263909
GRASIM,38505832
HAL,28450886
HAVELLS,35667502
HCLTECH,106857976
HDFCAMC,30592324
HDFCBANK,1330694977
HDFCLIFE,128849634
HEROMOTOCO,19586951
HINDALCO,212176873
HINDPETRO,143933168
HINDUNILVR,91001773
HINDZINC,161247058
HUDCO,75071250
ICICIBANK,580601807
ICICIGI,28747897
ICICIPRULI,58746582
IDEA,12037179660
IDFCFIRSTB,936861183
IEX,133395043
INDHOTEL,132129624
INDIANB,52862157
INDIGO,33874835
INDUSINDBK,93808799
INDUSTOWER,193623116
INFY,368703409
INOXWIND,144708707
IOC,684903861
IRCTC,32504261
IREDA,119011160
IRFC,200960551
ITC,1252401670
JINDALSTEL,48257090
JIOFIN,355358091
JSWENERGY,80385888
JSWSTEEL,133434355
JUBLFOOD,58761693
KALYANKJIL,57654984
KAYNES,4679418
KEI,8553821
KFINTECH,19924232
KOTAKBANK,781025350
KPITTECH,24589408
LAURUSLABS,58629477
LICHSGFIN,45183075
LICI,33206238
LODHA,42126960
LT,136109374
LTF,127100972
LTIM,9672091
LUPIN,36381777
M&M,95452027
MANAPPURAM,82205057
MANKIND,16919681
MARICO,79442217
MARUTI,17687048
MAXHEALTH,111218809
MAZDOCK,11364224
MCX,38177110
MFSL,33919851
MOTHERSON,606151620
MPHASIS,17093933
MUTHOOTFIN,14790848
NATIONALUM,134225816
NAUKRI,45110207
NBCC,154894704
NESTLEIND,71801274
NHPC,491233252
NMDC,517037525
NTPC,474131988
NUVAMA,12267678
NYKAA,205483040
OBEROIRLTY,17614093
OFSS,3582756
OIL,102006452
ONGC,517141211
PAGEIND,955549
PATANJALI,50886533
PAYTM,95799519
PERSISTENT,15732422
PETRONET,108255733
PFC,217835555
PGEL,24030912
PHOENIXLTD,19533471
PIDILITIND,31214205
PIIND,10712372
PNB,515822637
PNBHOUSING,28118603
POLICYBZR,60642005
POLYCAB,8688405
POWERGRID,678857930
POWERINDIA,1917916
PPLPHARMA,107697729
PREMIERENE,23923093
PRESTIGE,22697169
RBLBANK,91953095
RECLTD,187084550
RELIANCE,664266681
RVNL,84941460
SAIL,216861410
SAMMAANCAP,122326971
SBICARD,44836888
SBILIFE,44756800
SBIN,436949195
SHREECEM,1568093
SHRIRAMFIN,210513975
SIEMENS,13354588
SOLARINDS,3644817
SONACOMS,67126548
SRF,18529108
SUNPHARMA,109220043
SUPREMEIND,9736357
SUZLON,1814982173
SWIGGY,375529891
SYNGENE,24733183
TATACONSUM,65472326
TATAELXSI,5241546
TATAPOWER,202215001
TATASTEEL,872935214
TATATECH,25116370
TCS,126444612
TECHM,80031540
TIINDIA,15879795
TITAN,45680146
TMPV,317235726
TORNTPHARM,10726004
TORNTPOWER,24646022
TRENT,33590487
TVSMOTOR,31634588
ULTRACEMCO,11955674
UNIONBANK,289041713
UNITDSPR,37091426
UNOMINDA,27292222
UPL,84228583
VBL,205761118
VEDL,255091106
VOLTAS,34594689
WAAREEENER,15436318
WIPRO,358423198
YESBANK,3547322779
ZYDUSLIFE,37741451
